YEAR,EDUCCAT2,Nervous_1,Nervous_2,Nervous_3,Nervous_4,Nervous_5,Nervous_85,Nervous_94,Nervous_97,Nervous_98,Nervous_99,Nervous_89,Nervous_any,Nervous_no,Nervous_others,Nervous_skip,num_people,Hopeless_1,Hopeless_2,Hopeless_3,Hopeless_4,Hopeless_5,Hopeless_85,Hopeless_94,Hopeless_97,Hopeless_98,Hopeless_99,Hopeless_89,Hopeless_any,Hopeless_no,Hopeless_others,Hopeless_skip,Restless_1,Restless_2,Restless_3,Restless_4,Restless_5,Restless_85,Restless_94,Restless_97,Restless_98,Restless_99,Restless_89,Restless_any,Restless_no,Restless_others,Restless_skip
2002,1,243,606,947,1912,2558,1,65,23,9,NA,NA,3708,2558,98,NA,6364,295,480,717,1082,3704,1,45,31,9,NA,NA,2574,3704,86,NA,227,446,877,1448,3279,1,45,32,9,NA,NA,2998,3279,87,NA
2002,2,337,992,2060,4416,4327,2,76,32,7,NA,NA,7805,4327,117,NA,12249,410,759,1415,2214,7351,2,59,32,7,NA,NA,4798,7351,100,NA,310,781,1908,3253,5897,2,61,30,7,NA,NA,6252,5897,100,NA
2002,3,228,891,2122,4023,2981,2,35,24,1,NA,NA,7264,2981,62,NA,10307,286,745,1287,2094,5843,2,31,18,1,NA,NA,4412,5843,52,NA,229,718,1784,3159,4356,2,38,20,1,NA,NA,5890,4356,61,NA
2002,4,96,631,1718,3055,1919,2,17,9,4,NA,NA,5500,1919,32,NA,7451,98,352,856,1571,4535,2,21,11,5,NA,NA,2877,4535,39,NA,88,391,1264,2550,3113,2,25,13,5,NA,NA,4293,3113,45,NA
2002,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17709,NA,NA,NA,NA,17709,17709,NA,NA,NA,NA,NA,NA,NA,NA,NA,17709,NA,NA,NA,NA,17709,NA,NA,NA,NA,NA,NA,NA,NA,NA,17709,NA,NA,NA,NA,17709
2003,1,270,695,1140,2249,2600,1,78,27,10,NA,NA,4354,2600,116,NA,7070,349,547,890,1201,3982,1,63,27,10,NA,NA,2987,3982,101,NA,291,480,1089,1613,3480,1,81,25,10,NA,NA,3473,3480,117,NA
2003,2,335,1078,2374,4538,4102,NA,76,42,1,NA,NA,8325,4102,119,NA,12546,399,846,1523,2331,7368,NA,47,31,1,NA,NA,5099,7368,79,NA,339,864,1986,3361,5902,NA,61,32,1,NA,NA,6550,5902,94,NA
2003,3,204,891,2234,4054,2772,NA,52,22,3,NA,NA,7383,2772,77,NA,10232,262,735,1329,2010,5833,NA,45,15,3,NA,NA,4336,5833,63,NA,212,735,1813,3082,4320,NA,51,16,3,NA,NA,5842,4320,70,NA
2003,4,83,592,1723,3019,1728,1,24,7,1,NA,NA,5417,1728,33,NA,7178,96,317,807,1436,4493,1,18,9,1,NA,NA,2656,4493,29,NA,105,364,1232,2435,3010,1,22,8,1,NA,NA,4136,3010,32,NA
2003,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18203,1,NA,NA,1,18203,18204,NA,NA,NA,NA,NA,NA,NA,NA,NA,18203,1,NA,NA,1,18203,NA,NA,NA,NA,NA,NA,NA,NA,NA,18203,1,NA,NA,1,18203
2004,1,370,634,1223,2082,2315,1,68,42,5,NA,NA,4309,2315,116,NA,6740,374,590,962,1379,3331,1,54,44,5,NA,NA,3305,3331,104,NA,368,575,1127,1617,2951,1,52,44,5,NA,NA,3687,2951,102,NA
2004,2,461,1139,2583,4512,3845,NA,79,46,3,NA,NA,8695,3845,128,NA,12668,506,1023,1746,2571,6716,NA,63,40,3,NA,NA,5846,6716,106,NA,496,1080,2201,3573,5195,NA,74,46,3,NA,NA,7350,5195,123,NA
2004,3,309,1056,2611,3917,2543,NA,45,23,3,NA,NA,7893,2543,71,NA,10507,327,831,1607,2408,5286,NA,29,16,3,NA,NA,5173,5286,48,NA,311,1021,2217,3111,3794,NA,32,18,3,NA,NA,6660,3794,53,NA
2004,4,119,693,1925,2969,1653,NA,17,17,NA,NA,NA,5706,1653,34,NA,7393,95,401,985,1687,4196,NA,18,11,NA,NA,NA,3168,4196,29,NA,131,504,1551,2524,2652,NA,20,11,NA,NA,NA,4710,2652,31,NA
2004,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18293,1,NA,NA,1,18293,18294,NA,NA,NA,NA,NA,NA,NA,NA,NA,18293,1,NA,NA,1,18293,NA,NA,NA,NA,NA,NA,NA,NA,NA,18293,1,NA,NA,1,18293
2005,1,364,601,1223,1878,2522,2,64,31,5,NA,NA,4066,2522,102,NA,6690,419,536,947,1313,3381,2,56,31,5,NA,NA,3215,3381,94,NA,432,559,1109,1521,2967,2,61,34,5,NA,NA,3621,2967,102,NA
2005,2,476,1062,2661,4198,3986,NA,58,54,5,NA,NA,8397,3986,117,NA,12500,497,929,1819,2656,6496,NA,41,57,5,NA,NA,5901,6496,103,NA,580,1107,2362,3326,5011,NA,54,55,5,NA,NA,7375,5011,114,NA
2005,3,373,1157,2756,3761,2539,NA,22,19,NA,NA,NA,8047,2539,41,NA,10627,352,894,1719,2463,5158,NA,21,20,NA,NA,NA,5428,5158,41,NA,402,1201,2378,3152,3449,NA,24,21,NA,NA,NA,7133,3449,45,NA
2005,4,171,776,2044,2830,1556,NA,19,12,2,NA,NA,5821,1556,33,NA,7410,112,403,1119,1718,4037,NA,8,11,2,NA,NA,3352,4037,21,NA,158,634,1768,2528,2299,NA,10,11,2,NA,NA,5088,2299,23,NA
2005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18676,2,NA,NA,2,18676,18678,NA,NA,NA,NA,NA,NA,NA,NA,NA,18676,2,NA,NA,2,18676,NA,NA,NA,NA,NA,NA,NA,NA,NA,18676,2,NA,NA,2,18676
2006,1,365,573,1194,1820,2608,NA,70,48,4,NA,NA,3952,2608,122,NA,6682,398,534,954,1348,3338,NA,59,47,4,NA,NA,3234,3338,110,NA,405,553,1130,1485,2994,NA,67,44,4,NA,NA,3573,2994,115,NA
2006,2,472,1117,2529,4043,3971,NA,63,44,3,NA,NA,8161,3971,110,NA,12242,530,902,1749,2509,6456,NA,56,37,3,NA,NA,5690,6456,96,NA,547,1072,2212,3243,5055,NA,68,42,3,NA,NA,7074,5055,113,NA
2006,3,346,1099,2554,3639,2738,NA,36,28,3,NA,NA,7638,2738,67,NA,10443,355,829,1573,2369,5266,NA,21,27,3,NA,NA,5126,5266,51,NA,401,1073,2249,3051,3612,NA,26,28,3,NA,NA,6774,3612,57,NA
2006,4,171,686,2026,2866,1664,NA,12,9,NA,NA,NA,5749,1664,21,NA,7434,112,366,999,1681,4256,NA,10,10,NA,NA,NA,3158,4256,20,NA,163,593,1638,2549,2469,NA,12,10,NA,NA,NA,4943,2469,22,NA
2006,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18233,1,NA,NA,1,18233,18234,NA,NA,NA,NA,NA,NA,NA,NA,NA,18233,1,NA,NA,1,18233,NA,NA,NA,NA,NA,NA,NA,NA,NA,18233,1,NA,NA,1,18233
2007,1,393,603,1189,1755,2647,2,69,42,4,NA,NA,3940,2647,117,NA,6704,448,548,900,1311,3382,2,62,47,4,NA,NA,3207,3382,115,NA,424,623,1061,1410,3063,2,72,45,4,NA,NA,3518,3063,123,NA
2007,2,496,1063,2474,3987,3943,1,66,40,6,NA,NA,8020,3943,113,NA,12076,544,885,1700,2545,6301,1,50,44,6,NA,NA,5674,6301,101,NA,550,1076,2235,3096,5007,1,59,46,6,NA,NA,6957,5007,112,NA
2007,3,354,1127,2665,3839,2749,NA,39,20,3,NA,NA,7985,2749,62,NA,10796,349,827,1707,2481,5380,NA,24,25,3,NA,NA,5364,5380,52,NA,422,1068,2313,3283,3650,NA,30,27,3,NA,NA,7086,3650,60,NA
2007,4,151,743,2131,2959,1841,NA,16,10,NA,NA,NA,5984,1841,26,NA,7851,111,411,1024,1726,4560,NA,11,8,NA,NA,NA,3272,4560,19,NA,143,600,1767,2682,2630,NA,19,10,NA,NA,NA,5192,2630,29,NA
2007,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17622,NA,NA,NA,NA,17622,17622,NA,NA,NA,NA,NA,NA,NA,NA,NA,17622,NA,NA,NA,NA,17622,NA,NA,NA,NA,NA,NA,NA,NA,NA,17622,NA,NA,NA,NA,17622
