"hryear4","prtage","hufaminc","pesex","avg_tech_use","n"
2001,4,-3,1,63.0350194552529,257
2001,4,-3,2,66.030534351145,262
2001,4,-2,1,54.7619047619048,126
2001,4,-2,2,59.6153846153846,156
2001,4,1,1,48.9583333333333,96
2001,4,1,2,46.5277777777778,144
2001,4,2,1,40.5405405405405,74
2001,4,2,2,42.0454545454545,88
2001,4,3,1,42.8571428571429,63
2001,4,3,2,36.6197183098592,71
2001,4,4,1,37.037037037037,81
2001,4,4,2,55.5555555555556,90
2001,4,5,1,47.945205479452,73
2001,4,5,2,44.5544554455446,101
2001,4,6,1,47.5247524752475,101
2001,4,6,2,47.2868217054264,129
2001,4,7,1,46.5753424657534,146
2001,4,7,2,46.1538461538462,169
2001,4,8,1,51.5384615384615,130
2001,4,8,2,50,136
2001,4,9,1,64.3410852713178,129
2001,4,9,2,57.9310344827586,145
2001,4,10,1,68.1818181818182,132
2001,4,10,2,68.4210526315789,114
2001,4,11,1,76.5625,192
2001,4,11,2,76.2135922330097,206
2001,4,12,1,81.3397129186603,209
2001,4,12,2,82.9787234042553,188
2001,4,13,1,83.0769230769231,260
2001,4,13,2,82.6923076923077,208
2001,4,14,1,92.9467084639498,638
2001,4,14,2,92.9310344827586,580
2001,4,NA,1,40,5
2001,4,NA,2,40,5
2001,5,-3,1,56.3076923076923,325
2001,5,-3,2,56,400
2001,5,-2,1,42.4581005586592,179
2001,5,-2,2,49.390243902439,164
2001,5,1,1,51.6778523489933,149
2001,5,1,2,44.2396313364055,217
2001,5,2,1,44.3396226415094,106
2001,5,2,2,40.2877697841727,139
2001,5,3,1,41.4634146341463,82
2001,5,3,2,33.6,125
2001,5,4,1,43.312101910828,157
2001,5,4,2,47.3053892215569,167
2001,5,5,1,42.9530201342282,149
2001,5,5,2,40.4109589041096,146
2001,5,6,1,45.2471482889734,263
2001,5,6,2,48.0314960629921,254
2001,5,7,1,46.875,320
2001,5,7,2,54.3103448275862,348
2001,5,8,1,60.6164383561644,292
2001,5,8,2,52.5316455696203,316
2001,5,9,1,50.4032258064516,248
2001,5,9,2,55.0387596899225,258
2001,5,10,1,60.2678571428571,224
2001,5,10,2,69.1056910569106,246
2001,5,11,1,68.2080924855491,346
2001,5,11,2,71.5,400
2001,5,12,1,69.7530864197531,324
2001,5,12,2,76.4542936288089,361
2001,5,13,1,71.4754098360656,305
2001,5,13,2,81.063122923588,301
2001,5,14,1,87.7167630057804,692
2001,5,14,2,89.0127388535032,628
2001,5,NA,1,33.3333333333333,9
2001,5,NA,2,25,8
2001,6,-3,1,57.1808510638298,752
2001,6,-3,2,57.1764705882353,850
2001,6,-2,1,42.9184549356223,233
2001,6,-2,2,51.7948717948718,195
2001,6,1,1,31.8181818181818,132
2001,6,1,2,30.0518134715026,193
2001,6,2,1,22.6415094339623,106
2001,6,2,2,31.8840579710145,138
2001,6,3,1,33.3333333333333,105
2001,6,3,2,34.1176470588235,170
2001,6,4,1,30.0613496932515,163
2001,6,4,2,40.5405405405405,222
2001,6,5,1,32.9545454545455,176
2001,6,5,2,37.7880184331797,217
2001,6,6,1,38.006230529595,321
2001,6,6,2,42.6701570680628,382
2001,6,7,1,45.3815261044177,498
2001,6,7,2,51.4869888475836,538
2001,6,8,1,57.9457364341085,516
2001,6,8,2,56.442831215971,551
2001,6,9,1,59.4642857142857,560
2001,6,9,2,68.1003584229391,558
2001,6,10,1,68.609022556391,532
2001,6,10,2,68.0154142581888,519
2001,6,11,1,70.9219858156028,846
2001,6,11,2,74.1860465116279,860
2001,6,12,1,76.7639902676399,822
2001,6,12,2,77.6442307692308,832
2001,6,13,1,82.6771653543307,889
2001,6,13,2,84.4519015659955,894
2001,6,14,1,89.1766268260292,1506
2001,6,14,2,89.9874843554443,1598
2001,6,NA,1,44.4444444444444,9
2001,6,NA,2,66.6666666666667,9
2001,7,-3,1,51.7644645055396,4874
2001,7,-3,2,47.1224875450953,5821
2001,7,-2,1,47.1607314725698,1039
2001,7,-2,2,42.0392156862745,1275
2001,7,1,1,20.6967213114754,488
2001,7,1,2,24.896265560166,723
2001,7,2,1,15.0826446280992,484
2001,7,2,2,14.4897959183673,980
2001,7,3,1,20.5607476635514,535
2001,7,3,2,17.7631578947368,1064
2001,7,4,1,26.1964735516373,794
2001,7,4,2,23.805913570887,1319
2001,7,5,1,24.905183312263,791
2001,7,5,2,24.6655518394649,1196
2001,7,6,1,28.9219330855019,1345
2001,7,6,2,31.1048158640227,1765
2001,7,7,1,38.2539682539683,1890
2001,7,7,2,40.0599828620394,2334
2001,7,8,1,43.7465865647187,1831
2001,7,8,2,45.9245458779693,2147
2001,7,9,1,54.0420819490587,1806
2001,7,9,2,54.7234459128732,2043
2001,7,10,1,59.1580098414434,1829
2001,7,10,2,60.0941422594142,1912
2001,7,11,1,67.9232581622349,2971
2001,7,11,2,69.2836113837095,3057
2001,7,12,1,75.5954323001631,3065
2001,7,12,2,75.6343526350033,3074
2001,7,13,1,80.4748516088722,3201
2001,7,13,2,81.6537467700258,3096
2001,7,14,1,89.5866552189378,8153
2001,7,14,2,89.89252814739,7816
2001,7,NA,1,59.0909090909091,22
2001,7,NA,2,55.5555555555556,27
2001,NA,-3,1,65.6181015452539,1812
2001,NA,-3,2,67.5914249684741,1586
2001,NA,-3,NA,0,582
2001,NA,-2,1,56.1027837259101,467
2001,NA,-2,2,58.5567010309278,485
2001,NA,-2,NA,0,125
2001,NA,1,1,24.6049661399549,443
2001,NA,1,2,30.1724137931034,464
2001,NA,1,NA,0,153
2001,NA,2,1,29.7619047619048,336
2001,NA,2,2,25.6716417910448,335
2001,NA,2,NA,0,82
2001,NA,3,1,28.7564766839378,386
2001,NA,3,2,33.4246575342466,365
2001,NA,3,NA,0,78
2001,NA,4,1,38.2189239332096,539
2001,NA,4,2,38.5633270321361,529
2001,NA,4,NA,0,106
2001,NA,5,1,39.9606299212598,508
2001,NA,5,2,43.7881873727088,491
2001,NA,5,NA,0,67
2001,NA,6,1,44.1709844559586,772
2001,NA,6,2,47.020725388601,772
2001,NA,6,NA,0,166
2001,NA,7,1,52.7927927927928,1110
2001,NA,7,2,54.0874524714829,1052
2001,NA,7,NA,0,160
2001,NA,8,1,54.7240411599626,1069
2001,NA,8,2,58.3657587548638,1028
2001,NA,8,NA,0,140
2001,NA,9,1,67.5628794449263,1153
2001,NA,9,2,66.5395614871306,1049
2001,NA,9,NA,0,139
2001,NA,10,1,71.2562814070352,995
2001,NA,10,2,69.8704103671706,926
2001,NA,10,NA,0,129
2001,NA,11,1,77.8883360972913,1809
2001,NA,11,2,79.2298716452742,1714
2001,NA,11,NA,0,179
2001,NA,12,1,82.8248587570621,1770
2001,NA,12,2,85.1013110846246,1678
2001,NA,12,NA,0,177
2001,NA,13,1,90.3699673558215,1838
2001,NA,13,2,89.5184135977337,1765
2001,NA,13,NA,0,147
2001,NA,14,1,94.140157856972,4181
2001,NA,14,2,94.8870687515513,4029
2001,NA,14,NA,0,311
2001,NA,NA,1,57.1428571428571,21
2001,NA,NA,2,66.6666666666667,12
2001,NA,NA,NA,0,12824
2003,4,-3,1,66.4634146341463,328
2003,4,-3,2,70.7236842105263,304
2003,4,-2,1,56.5573770491803,122
2003,4,-2,2,57.3333333333333,150
2003,4,1,1,58.9473684210526,95
2003,4,1,2,56.4102564102564,156
2003,4,2,1,53.7313432835821,67
2003,4,2,2,59.5744680851064,94
2003,4,3,1,53.8461538461538,52
2003,4,3,2,34.6153846153846,52
2003,4,4,1,59.375,64
2003,4,4,2,44.3037974683544,79
2003,4,5,1,57.1428571428571,56
2003,4,5,2,45.5696202531646,79
2003,4,6,1,54.5454545454545,99
2003,4,6,2,52.6315789473684,95
2003,4,7,1,53.6764705882353,136
2003,4,7,2,55.1724137931034,145
2003,4,8,1,54.6875,128
2003,4,8,2,67.9389312977099,131
2003,4,9,1,69.2913385826772,127
2003,4,9,2,62.8787878787879,132
2003,4,10,1,73.7864077669903,103
2003,4,10,2,75.8928571428571,112
2003,4,11,1,82.4175824175824,182
2003,4,11,2,80.6818181818182,176
2003,4,12,1,89.6907216494845,194
2003,4,12,2,86.4321608040201,199
2003,4,13,1,88.5826771653543,254
2003,4,13,2,87.5,200
2003,4,14,1,92.4528301886792,265
2003,4,14,2,92.9411764705882,255
2003,4,15,1,95.4081632653061,196
2003,4,15,2,94.6808510638298,188
2003,4,16,1,95,120
2003,4,16,2,95.2380952380952,105
2003,4,NA,1,66.6666666666667,6
2003,4,NA,2,85.7142857142857,7
2003,5,-3,1,60.9053497942387,486
2003,5,-3,2,58.2809224318658,477
2003,5,-2,1,55.2763819095477,199
2003,5,-2,2,53.7142857142857,175
2003,5,1,1,50.4065040650407,123
2003,5,1,2,51.7412935323383,201
2003,5,2,1,54.639175257732,97
2003,5,2,2,49.2537313432836,134
2003,5,3,1,48.3870967741936,124
2003,5,3,2,47.1074380165289,121
2003,5,4,1,40.4761904761905,126
2003,5,4,2,46.7391304347826,184
2003,5,5,1,54.1984732824427,131
2003,5,5,2,53.8961038961039,154
2003,5,6,1,53.7383177570093,214
2003,5,6,2,46.5968586387435,191
2003,5,7,1,59.1836734693878,294
2003,5,7,2,58.6538461538462,312
2003,5,8,1,57.439446366782,289
2003,5,8,2,58.0536912751678,298
2003,5,9,1,59.4594594594595,296
2003,5,9,2,67.1378091872791,283
2003,5,10,1,72.0524017467249,229
2003,5,10,2,63.8297872340426,235
2003,5,11,1,75.974025974026,308
2003,5,11,2,75,356
2003,5,12,1,78.4671532846715,274
2003,5,12,2,79.1946308724832,298
2003,5,13,1,78.9644012944984,309
2003,5,13,2,84.6428571428571,280
2003,5,14,1,84.1726618705036,278
2003,5,14,2,89.3835616438356,292
2003,5,15,1,91.4163090128755,233
2003,5,15,2,95.5555555555556,180
2003,5,16,1,96.9465648854962,131
2003,5,16,2,94.1747572815534,103
2003,5,NA,1,75,4
2003,5,NA,2,0,5
2003,6,-3,1,63.3479212253829,914
2003,6,-3,2,65.8486707566462,978
2003,6,-2,1,50,222
2003,6,-2,2,55.6650246305419,203
2003,6,1,1,47.2,125
2003,6,1,2,39.8989898989899,198
2003,6,2,1,44.6601941747573,103
2003,6,2,2,36.8421052631579,152
2003,6,3,1,37.2881355932203,118
2003,6,3,2,41.8918918918919,148
2003,6,4,1,41.8079096045198,177
2003,6,4,2,43.6363636363636,220
2003,6,5,1,37.5690607734807,181
2003,6,5,2,43.2432432432432,185
2003,6,6,1,50.1818181818182,275
2003,6,6,2,51.7460317460318,315
2003,6,7,1,50.3401360544218,441
2003,6,7,2,55.7377049180328,427
2003,6,8,1,62.5531914893617,470
2003,6,8,2,63.3401221995927,491
2003,6,9,1,63.7931034482759,522
2003,6,9,2,65.7509157509158,546
2003,6,10,1,69.5740365111562,493
2003,6,10,2,74.4094488188976,508
2003,6,11,1,79.1281373844122,757
2003,6,11,2,80.3641092327698,769
2003,6,12,1,79.8639455782313,735
2003,6,12,2,81.7671809256662,713
2003,6,13,1,85.4503464203233,866
2003,6,13,2,87.8504672897196,856
2003,6,14,1,88.8318356867779,779
2003,6,14,2,91.3625304136253,822
2003,6,15,1,93.6073059360731,438
2003,6,15,2,95.5684007707129,519
2003,6,16,1,92.6470588235294,204
2003,6,16,2,97.265625,256
2003,6,NA,1,40,5
2003,6,NA,2,37.5,8
2003,7,-3,1,57.0503848845346,5716
2003,7,-3,2,53.3640279221744,6733
2003,7,-2,1,50.6849315068493,1022
2003,7,-2,2,46.7625899280576,1251
2003,7,1,1,33.2665330661323,499
2003,7,1,2,30.640243902439,656
2003,7,2,1,27.4122807017544,456
2003,7,2,2,23.7045203969129,907
2003,7,3,1,26.6666666666667,525
2003,7,3,2,22.6057906458797,898
2003,7,4,1,32.1381142098274,753
2003,7,4,2,29.2372881355932,1180
2003,7,5,1,32.2802197802198,728
2003,7,5,2,29.2572463768116,1104
2003,7,6,1,35.1351351351351,1221
2003,7,6,2,37.5843041079093,1631
2003,7,7,1,43.542654028436,1688
2003,7,7,2,45.876037091264,2049
2003,7,8,1,52.5896414342629,1757
2003,7,8,2,52.1087160262418,2134
2003,7,9,1,57.1963616907437,1869
2003,7,9,2,60.8088589311507,2077
2003,7,10,1,65.967365967366,1716
2003,7,10,2,68.1916038751346,1858
2003,7,11,1,74.0307242136064,2734
2003,7,11,2,76.2525737817433,2914
2003,7,12,1,79.8523985239852,2710
2003,7,12,2,80.0773014757554,2846
2003,7,13,1,85.2222917971196,3194
2003,7,13,2,85.53125,3200
2003,7,14,1,88.865210442195,3754
2003,7,14,2,89.6078431372549,3570
2003,7,15,1,92.9644558446317,2729
2003,7,15,2,93.6964980544747,2570
2003,7,16,1,94.7368421052632,1729
2003,7,16,2,95.1397326852977,1646
2003,7,NA,1,37.5,24
2003,7,NA,2,53.5714285714286,28
2003,NA,-3,1,73.8424821002387,2095
2003,NA,-3,2,73.33984375,2048
2003,NA,-3,NA,0,728
2003,NA,-2,1,59.8790322580645,496
2003,NA,-2,2,62.6582278481013,474
2003,NA,-2,NA,0,115
2003,NA,1,1,38.3928571428571,448
2003,NA,1,2,38,450
2003,NA,1,NA,0,141
2003,NA,2,1,42.7848101265823,395
2003,NA,2,2,41.2790697674419,344
2003,NA,2,NA,0,101
2003,NA,3,1,45.4545454545455,319
2003,NA,3,2,44.9685534591195,318
2003,NA,3,NA,0,88
2003,NA,4,1,44.1908713692946,482
2003,NA,4,2,43.7375745526839,503
2003,NA,4,NA,0,115
2003,NA,5,1,45.1901565995526,447
2003,NA,5,2,44.7236180904523,398
2003,NA,5,NA,0,98
2003,NA,6,1,49.5118549511855,717
2003,NA,6,2,51.0822510822511,693
2003,NA,6,NA,0,168
2003,NA,7,1,57.4226804123711,970
2003,NA,7,2,55.2016985138004,942
2003,NA,7,NA,0,196
2003,NA,8,1,63.663967611336,988
2003,NA,8,2,67.0961347869177,1009
2003,NA,8,NA,0,169
2003,NA,9,1,70.6563706563707,1036
2003,NA,9,2,68.7439143135346,1027
2003,NA,9,NA,0,180
2003,NA,10,1,76.5253360910031,967
2003,NA,10,2,78.0061664953751,973
2003,NA,10,NA,0,139
2003,NA,11,1,83.8688085676038,1494
2003,NA,11,2,82.6,1500
2003,NA,11,NA,0,209
2003,NA,12,1,85.3161114887831,1471
2003,NA,12,2,87.5085324232082,1465
2003,NA,12,NA,0,188
2003,NA,13,1,90.0546448087432,1830
2003,NA,13,2,90.7235621521336,1617
2003,NA,13,NA,0,189
2003,NA,14,1,93.8508064516129,1984
2003,NA,14,2,93.681917211329,1836
2003,NA,14,NA,0,284
2003,NA,15,1,97.3721590909091,1408
2003,NA,15,2,97.0909090909091,1375
2003,NA,15,NA,0,74
2003,NA,16,1,96.8862275449102,835
2003,NA,16,2,97.1499380421313,807
2003,NA,16,NA,0,45
2003,NA,NA,1,0,1
2003,NA,NA,2,50,4
2003,NA,NA,NA,0,13656
2007,4,-3,1,NA,391
2007,4,-3,2,NA,353
2007,4,-2,1,NA,145
2007,4,-2,2,NA,150
2007,4,1,1,NA,85
2007,4,1,2,NA,90
2007,4,2,1,NA,38
2007,4,2,2,NA,48
2007,4,3,1,NA,30
2007,4,3,2,NA,47
2007,4,4,1,NA,53
2007,4,4,2,NA,50
2007,4,5,1,NA,47
2007,4,5,2,NA,53
2007,4,6,1,NA,90
2007,4,6,2,NA,111
2007,4,7,1,NA,97
2007,4,7,2,NA,110
2007,4,8,1,NA,97
2007,4,8,2,NA,111
2007,4,9,1,NA,116
2007,4,9,2,NA,116
2007,4,10,1,NA,110
2007,4,10,2,NA,104
2007,4,11,1,NA,165
2007,4,11,2,NA,144
2007,4,12,1,NA,177
2007,4,12,2,NA,173
2007,4,13,1,NA,204
2007,4,13,2,NA,199
2007,4,14,1,NA,263
2007,4,14,2,NA,221
2007,4,15,1,NA,258
2007,4,15,2,NA,209
2007,4,16,1,NA,146
2007,4,16,2,NA,145
2007,4,NA,1,NA,7
2007,4,NA,2,NA,14
2007,5,-3,1,NA,527
2007,5,-3,2,NA,583
2007,5,-2,1,NA,218
2007,5,-2,2,NA,204
2007,5,1,1,NA,131
2007,5,1,2,NA,167
2007,5,2,1,NA,81
2007,5,2,2,NA,120
2007,5,3,1,NA,71
2007,5,3,2,NA,104
2007,5,4,1,NA,95
2007,5,4,2,NA,131
2007,5,5,1,NA,92
2007,5,5,2,NA,101
2007,5,6,1,NA,185
2007,5,6,2,NA,195
2007,5,7,1,NA,256
2007,5,7,2,NA,230
2007,5,8,1,NA,251
2007,5,8,2,NA,225
2007,5,9,1,NA,252
2007,5,9,2,NA,261
2007,5,10,1,NA,228
2007,5,10,2,NA,244
2007,5,11,1,NA,310
2007,5,11,2,NA,353
2007,5,12,1,NA,313
2007,5,12,2,NA,292
2007,5,13,1,NA,324
2007,5,13,2,NA,328
2007,5,14,1,NA,330
2007,5,14,2,NA,301
2007,5,15,1,NA,318
2007,5,15,2,NA,259
2007,5,16,1,NA,216
2007,5,16,2,NA,160
2007,5,NA,1,NA,4
2007,5,NA,2,NA,4
2007,6,-3,1,NA,955
2007,6,-3,2,NA,1011
2007,6,-2,1,NA,298
2007,6,-2,2,NA,243
2007,6,1,1,NA,105
2007,6,1,2,NA,160
2007,6,2,1,NA,74
2007,6,2,2,NA,119
2007,6,3,1,NA,74
2007,6,3,2,NA,110
2007,6,4,1,NA,115
2007,6,4,2,NA,131
2007,6,5,1,NA,134
2007,6,5,2,NA,153
2007,6,6,1,NA,236
2007,6,6,2,NA,284
2007,6,7,1,NA,317
2007,6,7,2,NA,376
2007,6,8,1,NA,321
2007,6,8,2,NA,377
2007,6,9,1,NA,445
2007,6,9,2,NA,460
2007,6,10,1,NA,391
2007,6,10,2,NA,372
2007,6,11,1,NA,665
2007,6,11,2,NA,632
2007,6,12,1,NA,663
2007,6,12,2,NA,684
2007,6,13,1,NA,750
2007,6,13,2,NA,774
2007,6,14,1,NA,819
2007,6,14,2,NA,851
2007,6,15,1,NA,552
2007,6,15,2,NA,621
2007,6,16,1,NA,303
2007,6,16,2,NA,312
2007,6,NA,1,NA,18
2007,6,NA,2,NA,16
2007,7,-3,1,NA,6218
2007,7,-3,2,NA,7148
2007,7,-2,1,NA,1215
2007,7,-2,2,NA,1508
2007,7,1,1,NA,401
2007,7,1,2,NA,554
2007,7,2,1,NA,288
2007,7,2,2,NA,483
2007,7,3,1,NA,415
2007,7,3,2,NA,730
2007,7,4,1,NA,640
2007,7,4,2,NA,1017
2007,7,5,1,NA,610
2007,7,5,2,NA,942
2007,7,6,1,NA,1011
2007,7,6,2,NA,1395
2007,7,7,1,NA,1343
2007,7,7,2,NA,1751
2007,7,8,1,NA,1424
2007,7,8,2,NA,1699
2007,7,9,1,NA,1538
2007,7,9,2,NA,1771
2007,7,10,1,NA,1556
2007,7,10,2,NA,1666
2007,7,11,1,NA,2387
2007,7,11,2,NA,2605
2007,7,12,1,NA,2534
2007,7,12,2,NA,2662
2007,7,13,1,NA,3079
2007,7,13,2,NA,3149
2007,7,14,1,NA,3661
2007,7,14,2,NA,3591
2007,7,15,1,NA,3408
2007,7,15,2,NA,3274
2007,7,16,1,NA,2318
2007,7,16,2,NA,2224
2007,7,NA,1,NA,71
2007,7,NA,2,NA,75
2007,NA,-3,1,NA,2243
2007,NA,-3,2,NA,2205
2007,NA,-3,NA,NA,678
2007,NA,-2,1,NA,615
2007,NA,-2,2,NA,576
2007,NA,-2,NA,NA,154
2007,NA,1,1,NA,350
2007,NA,1,2,NA,361
2007,NA,1,NA,NA,110
2007,NA,2,1,NA,259
2007,NA,2,2,NA,238
2007,NA,2,NA,NA,63
2007,NA,3,1,NA,298
2007,NA,3,2,NA,260
2007,NA,3,NA,NA,55
2007,NA,4,1,NA,323
2007,NA,4,2,NA,319
